Event Date,Source Country,Event Text,CAMEO Code,Target Country,Target Name,Target Sectors,Country,Latitude,Longitude
2006-07-12,Israel,Employ aerial weapons,195,Lebanon,Lebanon,,Lebanon,33.8889,35.4944
2006-07-12,Israel,Employ aerial weapons,195,Lebanon,Lebanon,,Lebanon,33.3603,35.5911
2006-07-12,Israel,Employ aerial weapons,195,Lebanon,Military (Lebanon),"Military,Government",Lebanon,33.8889,35.4944
2006-07-12,Israel,Employ aerial weapons,195,Lebanon,Lebanon,,Lebanon,33.8889,35.4944
2006-07-12,Israel,Employ aerial weapons,195,Lebanon,Citizen (Lebanon),"Social,General Population / Civilian / Social",Lebanon,33.8889,35.4944
2006-07-12,Israel,Employ aerial weapons,195,Lebanon,Lebanon,,Lebanon,33.8889,35.4944
2006-07-12,Israel,Employ aerial weapons,195,Lebanon,Lebanon,,Lebanon,33.8889,35.4944
2006-07-12,Israel,Employ aerial weapons,195,Lebanon,Citizen (Lebanon),"Social,General Population / Civilian / Social",Lebanon,33.8889,35.4944
2006-07-12,Israel,Employ aerial weapons,195,Lebanon,Lebanon,,Lebanon,33.7451,35.4645
2006-07-12,Israel,Employ aerial weapons,195,Lebanon,Lebanon,,Lebanon,33.8889,35.4944
2006-07-12,Israel,Employ aerial weapons,195,Lebanon,Lebanon,,Lebanon,33.5599,35.3756
2006-07-12,Israel,Employ aerial weapons,195,Occupied Palestinian Territory,"Palestinian Territory, Occupied",,Lebanon,33.8889,35.4944
2006-07-13,Israel,Employ aerial weapons,195,Lebanon,Lebanon,,Lebanon,33.8889,35.4944
2006-07-13,Israel,Employ aerial weapons,195,Lebanon,Lebanon,,Lebanon,33.8889,35.4944
2006-07-13,Israel,Employ aerial weapons,195,Lebanon,Citizen (Lebanon),"Social,General Population / Civilian / Social",Lebanon,33.2733,35.1939
2006-07-13,Israel,Employ aerial weapons,195,Lebanon,Lebanon,,Lebanon,33.8889,35.4944
2006-07-13,Israel,Employ aerial weapons,195,Occupied Palestinian Territory,"Foreign Affairs (Palestinian Territory, Occupied)","Executive,Government,Foreign Ministry",Lebanon,33.8889,35.4944
2006-07-13,Israel,Employ aerial weapons,195,Lebanon,Lebanon,,Lebanon,33.8889,35.4944
2006-07-13,Israel,Employ aerial weapons,195,Lebanon,Lebanon,,Lebanon,33.8889,35.4944
2006-07-13,Israel,Employ aerial weapons,195,Lebanon,Military (Lebanon),"Military,Government",Lebanon,33.8333,36.0
2006-07-13,Israel,Employ aerial weapons,195,Lebanon,Military (Lebanon),"Military,Government",Lebanon,34.4367,35.8497
2006-07-13,Israel,Employ aerial weapons,195,Lebanon,Air Force (Lebanon),"Air Force,Military,Government",Lebanon,33.8889,35.4944
2006-07-13,Israel,Employ aerial weapons,195,Lebanon,Citizen (Lebanon),"Social,General Population / Civilian / Social",Lebanon,33.8889,35.4944
2006-07-13,Israel,Employ aerial weapons,195,Lebanon,Air Force (Lebanon),"Air Force,Military,Government",Lebanon,33.85,36.0
2006-07-13,Israel,Employ aerial weapons,195,Lebanon,Lebanon,,Lebanon,33.8889,35.4944
2006-07-13,Israel,Employ aerial weapons,195,Lebanon,Lebanon,,Lebanon,33.2733,35.1939
2006-07-13,Israel,Employ aerial weapons,195,Lebanon,Hezbollah,"Parties,Social,National Religious,International Religious,(National) Minor Party,Dissident,Ideological,Far Left,Shia,Organized Violent",Lebanon,33.8889,35.4944
2006-07-13,Israel,Employ aerial weapons,195,Lebanon,Lebanon,,Lebanon,33.8889,35.4944
2006-07-13,Israel,Employ aerial weapons,195,Lebanon,Lebanon,,Lebanon,33.8889,35.4944
2006-07-13,Israel,Employ aerial weapons,195,Lebanon,Lebanon,,Lebanon,33.8889,35.4944
2006-07-13,Israel,Employ aerial weapons,195,Lebanon,Lebanon,,Lebanon,33.8889,35.4944
2006-07-13,Israel,Employ aerial weapons,195,Lebanon,Hezbollah,"Parties,Social,National Religious,International Religious,(National) Minor Party,Dissident,Ideological,Far Left,Shia,Organized Violent",Lebanon,34.0058,36.2181
2006-07-13,Israel,Employ aerial weapons,195,Lebanon,Military (Lebanon),"Military,Government",Lebanon,33.8889,35.4944
2006-07-13,Israel,Employ aerial weapons,195,Lebanon,Military (Lebanon),"Military,Government",Lebanon,33.8889,35.4944
2006-07-13,Israel,Employ aerial weapons,195,Lebanon,Lebanon,,Lebanon,33.8889,35.4944
2006-07-13,Israel,Employ aerial weapons,195,Lebanon,Lebanon,,Lebanon,33.8889,35.4944
2006-07-13,Israel,Employ aerial weapons,195,Lebanon,Lebanon,,Lebanon,33.8889,35.4944
2006-07-13,Israel,Employ aerial weapons,195,Lebanon,Lebanon,,Lebanon,33.8889,35.4944
2006-07-13,Israel,Employ aerial weapons,195,Lebanon,Lebanon,,Lebanon,33.8889,35.4944
2006-07-13,Israel,Employ aerial weapons,195,Lebanon,Lebanon,,Lebanon,33.8889,35.4944
2006-07-13,Israel,Employ aerial weapons,195,Lebanon,Lebanon,,Lebanon,33.8889,35.4944
2006-07-13,Israel,Employ aerial weapons,195,Lebanon,Lebanon,,Lebanon,33.8889,35.4944
2006-07-13,Israel,Employ aerial weapons,195,Lebanon,Lebanon,,Lebanon,33.8889,35.4944
2006-07-13,Israel,Employ aerial weapons,195,Lebanon,Hezbollah,"Parties,Social,National Religious,International Religious,(National) Minor Party,Dissident,Ideological,Far Left,Shia,Organized Violent",Lebanon,33.8889,35.4944
2006-07-13,Israel,Employ aerial weapons,195,Lebanon,Hezbollah,"Parties,Social,National Religious,International Religious,(National) Minor Party,Dissident,Ideological,Far Left,Shia,Organized Violent",Lebanon,33.8889,35.4944
2006-07-13,Israel,Employ aerial weapons,195,Lebanon,Lebanon,,Lebanon,33.8889,35.4944
2006-07-13,Israel,Employ aerial weapons,195,Lebanon,Lebanon,,Lebanon,33.8889,35.4944
2006-07-13,Israel,Employ aerial weapons,195,Lebanon,Citizen (Lebanon),"Social,General Population / Civilian / Social",Lebanon,33.8889,35.4944
2006-07-13,Israel,Employ aerial weapons,195,Lebanon,Lebanon,,Lebanon,33.8889,35.4944
2006-07-13,Israel,Employ aerial weapons,195,Lebanon,Lebanon,,Lebanon,33.8889,35.4944
2006-07-13,Israel,Employ aerial weapons,195,Lebanon,Lebanon,,Lebanon,33.8889,35.4944
2006-07-13,Israel,Employ aerial weapons,195,Lebanon,Lebanon,,Lebanon,33.8889,35.4944
2006-07-13,Israel,Employ aerial weapons,195,Lebanon,Lebanon,,Lebanon,33.8889,35.4944
2006-07-13,Israel,Employ aerial weapons,195,Lebanon,Hezbollah,"Parties,Social,National Religious,International Religious,(National) Minor Party,Dissident,Ideological,Far Left,Shia,Organized Violent",Lebanon,33.8889,35.4944
2006-07-13,Israel,Employ aerial weapons,195,Lebanon,Citizen (Lebanon),"Social,General Population / Civilian / Social",Lebanon,33.2733,35.1939
2006-07-13,Israel,Employ aerial weapons,195,Lebanon,Lebanon,,Lebanon,33.8889,35.4944
2006-07-13,Israel,Employ aerial weapons,195,Lebanon,Citizen (Lebanon),"Social,General Population / Civilian / Social",Lebanon,33.8889,35.4944
2006-07-13,Israel,Employ aerial weapons,195,Lebanon,Lebanon,,Lebanon,33.8889,35.4944
2006-07-13,Israel,Employ aerial weapons,195,Lebanon,Citizen (Lebanon),"Social,General Population / Civilian / Social",Lebanon,33.8889,35.4944
2006-07-13,Israel,Employ aerial weapons,195,Lebanon,Lebanon,,Lebanon,33.2733,35.1939
2006-07-13,Israel,Employ aerial weapons,195,Lebanon,Lebanon,,Lebanon,33.8889,35.4944
2006-07-14,Israel,Employ aerial weapons,195,Lebanon,Lebanon,,Lebanon,33.8889,35.4944
