date,latitude,longitude,description,type
26 July 2024,33.0971,35.3367,"On 26 July 2024, Israeli warplanes carried out an airstrike targeting a house in the vicinity of Aita ech Chaab town (Bint Jbeil, Al Nabatieh) amid ongoing hostilities with Hezbollah. There were no casualties.",2023_strike
26 July 2024,33.2333,35.513,"On 26 July 2024, Israeli warplanes carried out an airstrike with two missiles targeting Al Marhat area in the vicinity of Markaba town (Marjayoun, Al Nabatieh) amid ongoing hostilities with Hezbollah. There were no casualties.",2023_strike
26 July 2024,33.2333,35.513,"On 26 July 2024, Israeli warplanes carried out an airstrike targeting a house in Markaba town (Marjayoun, Al Nabatieh) amid ongoing hostilities with Hezbollah. 2 Hezbollah members were killed in the strike.",2023_strike
26 July 2024,33.2092,35.515,"On 26 July 2024, Israeli warplanes carried out an airstrike targeting military infrastructure for Hezbollah in Houla town (Marjayoun, Al Nabatieh). There were no casualties.",2023_strike
26 July 2024,33.2772,35.5517,"On 26 July 2024, Israeli warplanes carried out an airstrike in Kfar Kila town (Marjayoun, Al Nabatieh) amid ongoing hostilities with Hezbollah. There were no casualties.",2023_strike
25 July 2024,33.2482,35.5194,"On 25 July 2024, an Israeli drone fired several missiles near the town's graveyard in Rab el Thalathine town (Marjayoun, Al Nabatieh) amid ongoing hostilities with Hezbollah. 1 Hezbollah member was killed and four others were injured in the strike.",2023_strike
25 July 2024,33.0971,35.3367,"On 25 July 2024, Israeli F-16 fighter jets dropped thermal bombs and the Israeli military fired artillery shells towards Aita ech Chaab town (Bint Jbeil, Al Nabatieh). Israeli fighter jets also conducted an airstrike with two air-to-surface missiles targeting a house in the town. There were no casualties. The Israeli military announced it had struck military infrastructure for Hezbollah.",2023_strike
25 July 2024,33.1153,35.4714,"On 25 July 2024, Israeli warplanes carried out an airstrike in Aitaroun (Bint Jbeil, Al Nabatieh) amid ongoing hostilities with Hezbollah. The missile did not explode. The Israeli military announced it had struck military infrastructure for Hezbollah. There were no casualties.",2023_strike
25 July 2024,33.2431,35.3819,"On 25 July 2024, Israeli warplanes dropped thermal bombs over the outskirts of Ech Chehabiye town (Tyr, South). This led to a breakout of a fire in the area.",2023_strike
25 July 2024,33.1265,35.256,"On 25 July 2024, Israeli warplanes carried out an airstrike in Chihhine town (Tyr, South) amid ongoing hostilities with Hezbollah. There were no casualties.",2023_strike
24 July 2024,33.2092,35.515,"On 24 July 2024, an Israeli drone conducted a strike and the Israeli military fired artillery shells towards Al Marj and Ba'ar Moussalabiyat neighborhoods in Houla town (Marjayoun, Al Nabatieh) amid ongoing hostilities with Hezbollah. There were no casualties.",2023_strike
24 July 2024,33.2772,35.5517,"On 24 July 2024, an Israeli drone conducted a strike in Kfar Kila town (Marjayoun, Al Nabatieh) amid ongoing hostilities with Hezbollah. The Israeli military announced it had struck military infrastructure for Hezbollah. There were no casualties.",2023_strike
24 July 2024,33.1285,35.2192,"On 24 July 2024, Israeli warplanes carried out an airstrike with two missiles in Tayr Harfa town (Tyr, South) amid ongoing hostilities with Hezbollah. The Israeli military announced it had struck military infrastructure for Hezbollah. There were no casualties.",2023_strike
24 July 2024,33.3278,35.6128,"On 24 July 2024, Israeli warplanes carried out an airstrike targeting Matal al Jabal area in Khiyam town (Marjayoun, Al Nabatieh) amid ongoing hostilities with Hezbollah. There were no casualties.",2023_strike
24 July 2024,33.1085,35.2553,"On 24 July 2024, Israeli warplanes carried out an airstrike targeting an area between Zalloutieh and Umm Touteh town (Tyr, South) amid ongoing hostilities with Hezbollah. There were no casualties.",2023_strike
24 July 2024,33.3439,35.6789,"On 24 July 2024, Israeli warplanes carried out an airstrike targeting Hezbollah infrastructure in Kfar Hamam town (Hasbeiya, Al Nabatieh) amid ongoing hostilities with Hezbollah. There were no casualties.",2023_strike
23 July 2024,33.1265,35.256,"On 23 July 2024, Israeli warplanes carried out an airstrike in the vicinity of Chihhine town (Tyr, South) amid ongoing hostilities with Hezbollah. The airstrike targeted a center for the Amal-affiliated Islamic Risala Scout Organization. There were no casualties.",2023_strike
23 July 2024,33.1922,35.3357,"On 23 July 2024, an Israeli drone fired three missiles targeting a van with Hezbollah members in Chaqra town (Bint Jbeil, Al Nabatieh) amid ongoing hostilities with Hezbollah. 1 Hezbollah member was killed and two other civilians were injured in the strike.",2023_strike
23 July 2024,33.0971,35.3367,"On 23 July 2024, Israeli warplanes carried out two airstrikes in Aita ech Chaab town (Bint Jbeil, Al Nabatieh) amid ongoing hostilities with Hezbollah. The Israeli military announced it had struck military infrastructure for Hezbollah. There were no casualties.",2023_strike
23 July 2024,33.2324,35.4851,"On 23 July 2024, Israeli warplanes carried out an airstrike and the Israeli military fired artillery shells towards Talouseh town (Marjayoun, Al Nabatieh) amid ongoing hostilities with Hezbollah. The Israeli military claimed to have struck a Hezbollah operative in the town. Casualties Unknown.",2023_strike
